FECHA (YYMMDD);HORA (HHMM);;
200411;0000;13,4431;
200411;0100;13,0595;
200411;0200;12,4844;
200411;0300;12,0926;
200411;0400;11,7;
200411;0500;11,1833;
200411;0600;10,717;
200411;0700;10,6335;
200411;0800;11,5667;
200411;0900;13,9417;
200411;1000;15,9583;
200411;1100;17,9333;
200411;1200;18,8833;
200411;1300;18,5083;
200411;1400;20,05;
200411;1500;20,2801;
200411;1600;19,825;
200411;1700;19,5917;
200411;1800;18,9833;
200411;1900;18,2033;
200411;2000;17,2112;
200411;2100;16,1693;
200411;2200;15,3261;
200411;2300;14,8426;
200412;0000;14,3507;
200412;0100;14,1;
200412;0200;14,0667;
200412;0300;13,925;
200412;0400;13,6417;
200412;0500;13,4167;
200412;0600;13,1366;
200412;0700;13,1909;
200412;0800;13,45;
200412;0900;13,5333;
200412;1000;13,05;
200412;1100;13,075;
200412;1200;13,7167;
200412;1300;13,7917;
200412;1400;15,075;
200412;1500;16,8;
200412;1600;17,925;
200412;1700;18,6167;
200412;1800;17,925;
200412;1900;16,5333;
200412;2000;14,925;
200412;2100;13,8;
200412;2200;13,6917;
200412;2300;13,675;
200413;0000;13,8917;
200413;0100;13,5333;
200413;0200;13,2167;
200413;0300;12,8667;
200413;0400;12,6417;
200413;0500;12,6333;
200413;0600;12,3025;
200413;0700;11,6917;
200413;0800;11,0917;
200413;0900;12,65;
200413;1000;16,0417;
200413;1100;17,1917;
200413;1200;18,7083;
200413;1300;19,4083;
200413;1400;21,2333;
200413;1500;23,0583;
200413;1600;23,9583;
200413;1700;23,8333;
200413;1800;22,475;
200413;1900;20,1083;
200413;2000;17,15;
200413;2100;15,4667;
200413;2200;14,55;
200413;2300;14,0583;
200414;0000;12,7333;
200414;0100;11,7583;
200414;0200;10,925;
200414;0300;10,4333;
200414;0400;9,825;
200414;0500;9,48334;
200414;0600;9,16013;
200414;0700;8,75833;
200414;0800;10,125;
200414;0900;12,7583;
200414;1000;16,325;
200414;1100;19,925;
200414;1200;22,025;
200414;1300;24,1667;
200414;1400;25,1917;
200414;1500;26,0667;
200414;1600;26,5833;
200414;1700;26,125;
200414;1800;24,9667;
200414;1900;22,7;
200414;2000;19,8333;
200414;2100;17,8417;
200414;2200;16,2083;
200414;2300;15,194;
200415;0000;15,3188;
200415;0100;15,227;
200415;0200;14,0435;
200415;0300;12,3933;
200415;0400;11,5917;
200415;0500;10,7167;
200415;0600;10,1428;
200415;0700;9,89999;
200415;0800;10,7083;
200415;0900;14,625;
200415;1000;16,8833;
200415;1100;18,5;
200415;1200;20,375;
200415;1300;21,475;
200415;1400;22,6417;
200415;1500;22,875;
200415;1600;21,5917;
200415;1700;20,9091;
200415;1800;19,9417;
200415;1900;17,7667;
200415;2000;16,2;
200415;2100;14,9583;
200415;2200;13,95;
200415;2300;12,9917;
200416;0000;12,0097;
200416;0100;11,425;
200416;0200;10,9833;
200416;0300;10,2083;
200416;0400;9,66667;
200416;0500;9,33333;
200416;0600;9,08366;
200416;0700;8,63333;
200416;0800;8,875;
200416;0900;12,2167;
200416;1000;15,7583;
200416;1100;18,325;
200416;1200;20,275;
200416;1300;21,6667;
200416;1400;23,2833;
200416;1500;24,8167;
200416;1600;25,5667;
200416;1700;25,4;
200416;1800;23,2;
200416;1900;20,8167;
200416;2000;18,4583;
200416;2100;16,1417;
200416;2200;15,2917;
200416;2300;14,2167;
200417;0000;13,2667;
200417;0100;12,7838;
200417;0200;12,5337;
200417;0300;12,2669;
200417;0400;11,6583;
200417;0500;11,3367;
200417;0600;10,5866;
200417;0700;10,0698;
200417;0800;10,4112;
200417;0900;15,2583;
200417;1000;18,375;
200417;1100;21,0583;
200417;1200;22,85;
200417;1300;25,1583;
200417;1400;27,0083;
200417;1500;28,2091;
200417;1600;28,8;
200417;1700;27,8417;
200417;1800;25,9083;
200417;1900;23,0333;
200417;2000;20;
200417;2100;17,8;
200417;2200;16,684;
200417;2300;15,9002;
200418;0000;14,7083;
200418;0100;14,125;
200418;0200;13,57;
200418;0300;12,9864;
200418;0400;12,4946;
200418;0500;12,3777;
200418;0600;11,2775;
200418;0700;11,2274;
200418;0800;12,0355;
200418;0900;16,125;
200418;1000;19,975;
200418;1100;22,5333;
200418;1200;24,175;
200418;1300;25,8;
200418;1400;27,275;
200418;1500;28,2417;
200418;1600;28,3583;
200418;1700;28,1167;
200418;1800;26,4167;
200418;1900;23,0833;
200418;2000;22,2;
200418;2100;20,1667;
200418;2200;18,4083;
200418;2300;17,3645;
200419;0000;16,8141;
200419;0100;15,686;
200419;0200;15,1275;
200419;0300;14,3773;
200419;0400;13,7689;
200419;0500;13,3187;
200419;0600;13,4601;
200419;0700;12,8183;
