FECHA (YYMMDD);HORA (HHMM);;
200327;0400;1,33595;
200327;0500;1,51683;
200327;0600;0,689109;
200327;0700;0,844263;
200327;0800;0,450705;
200327;0900;0,49349;
200327;1000;1,23811;
200327;1100;0,380271;
200327;1200;0,729937;
200327;1300;1,7501;
200327;1400;1,79199;
200327;1500;1,85877;
200327;1600;2,45208;
200327;1700;2,4144;
200327;1800;1,75129;
200327;1900;2,09627;
200327;2000;1,3902;
200327;2100;1,12812;
200327;2200;0,71173;
200327;2300;0,218418;
200328;0000;0,518087;
200328;0100;0,395687;
200328;0200;0,171361;
200328;0300;0,105812;
200328;0400;0,0663258;
200328;0500;0,0466625;
200328;0600;0,314179;
200328;0700;0,32553;
200328;0800;0,579927;
200328;0900;0,356444;
200328;1000;0,415594;
200328;1100;0,528955;
200328;1200;0,768596;
200328;1300;1,8236;
200328;1400;2,37469;
200328;1500;2,44942;
200328;1600;1,68593;
200328;1700;1,78218;
200328;1800;1,36099;
200328;1900;1,55365;
200328;2000;1,6248;
200328;2100;0,856405;
200328;2200;0,435725;
200328;2300;0,0603837;
200329;0000;0,0446191;
200329;0100;0,0236271;
200329;0200;0,0120233;
200329;0300;0,0715801;
200329;0400;0,10579;
200329;0500;0,202093;
200329;0600;0,00860889;
200329;0700;0,0489838;
200329;0800;0,138394;
200329;0900;0,124349;
200329;1000;0,457057;
200329;1100;0,0991303;
200329;1200;0,71322;
200329;1300;0,581132;
200329;1400;1,25846;
200329;1500;1,96547;
200329;1600;2,16453;
200329;1700;2,27301;
200329;1800;2,14295;
200329;1900;1,2603;
200329;2000;0,734191;
200329;2100;0,704841;
200329;2200;0,0559438;
200329;2300;0,0423994;
200330;0000;0,0383791;
200330;0100;0,0275329;
200330;0200;0,0434571;
200330;0300;0,0300963;
200330;0400;0,0154027;
200330;0500;0,0373449;
200330;0600;0,00852896;
200330;0700;0,0365107;
200330;0800;0,0309684;
200330;0900;0,296217;
200330;1000;0,554039;
200330;1100;0,737812;
200330;1200;0,140154;
200330;1300;0,323277;
200330;1400;1,31334;
200330;1500;2,09162;
200330;1600;2,5963;
200330;1700;2,45442;
200330;1800;2,27383;
200330;1900;1,59378;
200330;2000;0,530044;
200330;2100;0,596843;
200330;2200;0,270358;
200330;2300;0,0970374;
200331;0000;0,0793715;
200331;0100;0,0142784;
200331;0200;0,0555291;
200331;0300;0,033188;
200331;0400;0,0565322;
200331;0500;0,0537028;
200331;0600;0,0731992;
200331;0700;0,0431067;
200331;0800;0,057954;
200331;0900;0,241496;
200331;1000;0,826651;
200331;1100;0,737883;
200331;1200;0,292299;
200331;1300;0,758951;
200331;1400;2,03285;
200331;1500;1,81066;
200331;1600;2,28022;
200331;1700;2,52977;
200331;1800;2,1221;
200331;1900;1,50222;
200331;2000;1,14795;
200331;2100;1,21453;
200331;2200;0,825216;
200331;2300;0,204258;
200401;0000;0,0279385;
200401;0100;0,158841;
200401;0200;0,515537;
200401;0300;0,416413;
200401;0400;0,346972;
200401;0500;0,323601;
200401;0600;0,27845;
200401;0700;0,250372;
200401;0800;0,193982;
200401;0900;0,998752;
200401;1000;0,169572;
200401;1100;0,585231;
200401;1200;0,237584;
200401;1300;0,443617;
200401;1400;1,49538;
200401;1500;2,02727;
200401;1600;1,86462;
200401;1700;1,85951;
200401;1800;1,96955;
200401;1900;1,46605;
200401;2000;0,856228;
200401;2100;0,231069;
200401;2200;0,0775965;
200401;2300;0,0189724;
200402;0000;0,0257966;
200402;0100;0,0905839;
200402;0200;0,0727324;
200402;0300;0,0208654;
200402;0400;0,0704534;
200402;0500;0,0780762;
200402;0600;0,401542;
200402;0700;0,416765;
200402;0800;0,195651;
200402;0900;0,170044;
200402;1000;0,411459;
200402;1100;0,177101;
200402;1200;0,549286;
200402;1300;0,486897;
200402;1400;1,21494;
200402;1500;1,8703;
200402;1600;2,12824;
200402;1700;2,19528;
200402;1800;1,95686;
200402;1900;1,55984;
200402;2000;0,893257;
200402;2100;0,296297;
200402;2200;0,613016;
200402;2300;0,232882;
200403;0000;0,0878607;
200403;0100;0,159814;
200403;0200;0,179659;
200403;0300;0,0620588;
200403;0400;0,0155448;
200403;0500;0,0740457;
200403;0600;0,0413831;
200403;0700;0,0341198;
200403;0800;0,0664212;
200403;0900;0,163085;
200403;1000;0,933559;
